순,이름,연도,WAR,game,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wOBA,wRC+,WAR2,--
322,임종찬,22한RF, -0.28 , 20 , 57 , 53 , 2 , 10 , 1 , 0 , 2 , 17 , 6 , 0 , 1 , 3 , 0 , 1 , 23 , 1 , 0 , 1 , .189 , .228 , .321 , .549 , .241 , 41.6 , -0.28 , -0.12 
323,김호재,22삼2B, -0.28 , 21 , 29 , 28 , 1 , 4 , 1 , 0 , 0 , 5 , 1 , 0 , 0 , 1 , 0 , 0 , 9 , 1 , 0 , 0 , .143 , .172 , .179 , .351 , .168 , -8.6 , -0.28 , -0.43 
324,이원석,22한CF, -0.29 , 20 , 39 , 35 , 4 , 4 , 0 , 0 , 1 , 7 , 1 , 0 , 0 , 3 , 0 , 0 , 18 , 1 , 1 , 0 , .114 , .184 , .200 , .384 , .181 , 0.4 , -0.29 , -0.52 
325,이주형,22키DH, -0.29 , 32 , 85 , 71 , 7 , 12 , 0 , 0 , 1 , 15 , 8 , 0 , 0 , 10 , 3 , 0 , 27 , 0 , 0 , 1 , .169 , .294 , .211 , .505 , .257 , 55.7 , -0.29 , -0.39 
326,권동진,22K2B, -0.29 , 46 , 40 , 38 , 9 , 5 , 1 , 1 , 0 , 8 , 4 , 4 , 0 , 1 , 0 , 0 , 16 , 0 , 1 , 0 , .132 , .154 , .211 , .364 , .163 , -12.6 , -0.29 , -0.26 
327,이병규,22키1B, -0.30 , 24 , 40 , 38 , 7 , 7 , 1 , 1 , 0 , 10 , 5 , 1 , 0 , 2 , 0 , 0 , 11 , 0 , 0 , 0 , .184 , .225 , .263 , .488 , .228 , 32.1 , -0.30 , -0.21 
328,이성곤,22한1B, -0.31 , 41 , 117 , 99 , 6 , 19 , 5 , 0 , 0 , 24 , 5 , 1 , 1 , 17 , 0 , 0 , 32 , 0 , 0 , 1 , .192 , .308 , .242 , .550 , .273 , 64.0 , -0.31 , -0.47 
329,전병우,22키1B, -0.31 , 115 , 231 , 197 , 14 , 40 , 7 , 0 , 5 , 62 , 21 , 0 , 0 , 17 , 7 , 0 , 68 , 5 , 9 , 1 , .203 , .288 , .315 , .603 , .275 , 68.2 , -0.31 , -0.01 
330,최항,22SDH, -0.31 , 15 , 24 , 20 , 0 , 2 , 0 , 0 , 0 , 2 , 1 , 0 , 0 , 2 , 1 , 0 , 7 , 0 , 0 , 1 , .100 , .208 , .100 , .308 , .170 , -8.9 , -0.31 , -0.24 
331,정민규,22한1B, -0.31 , 9 , 24 , 23 , 3 , 3 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 1 , 0 , 11 , 0 , 0 , 0 , .130 , .167 , .130 , .297 , .149 , -21.7 , -0.31 , -0.14 
332,김병희,22K1B, -0.31 , 41 , 85 , 74 , 8 , 15 , 2 , 0 , 1 , 20 , 6 , 0 , 3 , 7 , 3 , 0 , 26 , 2 , 0 , 1 , .203 , .294 , .270 , .564 , .274 , 63.0 , -0.31 , -0.37 
333,도태훈,22N3B, -0.34 , 90 , 163 , 139 , 18 , 30 , 7 , 0 , 2 , 43 , 13 , 0 , 0 , 13 , 1 , 0 , 23 , 5 , 7 , 3 , .216 , .282 , .309 , .591 , .265 , 58.6 , -0.34 , -1.80 
334,박승규,22삼CF, -0.35 , 62 , 83 , 74 , 10 , 16 , 2 , 0 , 0 , 18 , 4 , 2 , 0 , 3 , 0 , 0 , 15 , 0 , 5 , 1 , .216 , .244 , .243 , .487 , .217 , 24.6 , -0.35 , -0.67 
335,송준석,22삼RF, -0.36 , 17 , 32 , 29 , 3 , 4 , 0 , 0 , 0 , 4 , 1 , 0 , 0 , 1 , 1 , 0 , 5 , 1 , 1 , 0 , .138 , .194 , .138 , .332 , .164 , -11.5 , -0.36 , -0.56 
336,배성근,22롯2B, -0.37 , 22 , 41 , 39 , 3 , 5 , 1 , 0 , 0 , 6 , 0 , 0 , 0 , 2 , 0 , 0 , 12 , 3 , 0 , 0 , .128 , .171 , .154 , .325 , .159 , -16.5 , -0.37 , -0.70 
337,최정용,22K2B, -0.37 , 30 , 23 , 22 , 5 , 2 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 6 , 0 , 1 , 0 , .091 , .091 , .091 , .182 , .082 , -67.7 , -0.37 , -0.37 
338,윤형준,22N1B, -0.38 , 35 , 69 , 67 , 5 , 14 , 1 , 0 , 1 , 18 , 5 , 1 , 0 , 1 , 1 , 0 , 21 , 1 , 0 , 0 , .209 , .232 , .269 , .501 , .234 , 38.4 , -0.38 , -0.70 
339,김한별,22NSS, -0.38 , 24 , 23 , 21 , 0 , 2 , 0 , 0 , 0 , 2 , 0 , 0 , 1 , 0 , 0 , 0 , 6 , 0 , 2 , 0 , .095 , .095 , .095 , .191 , .082 , -66.8 , -0.38 , -0.39 
340,이해승,22삼SS, -0.38 , 46 , 106 , 99 , 11 , 23 , 3 , 0 , 0 , 26 , 5 , 0 , 0 , 1 , 0 , 0 , 29 , 1 , 6 , 0 , .232 , .240 , .263 , .503 , .222 , 28.3 , -0.38 , -0.34 
341,김석환,22KLF, -0.39 , 51 , 107 , 94 , 15 , 14 , 2 , 0 , 3 , 25 , 7 , 0 , 0 , 10 , 3 , 0 , 32 , 1 , 0 , 0 , .149 , .252 , .266 , .518 , .250 , 47.0 , -0.39 , -1.07 
342,이학주,22롯SS, -0.40 , 91 , 260 , 232 , 29 , 48 , 11 , 1 , 3 , 70 , 15 , 2 , 4 , 16 , 2 , 0 , 54 , 3 , 9 , 1 , .207 , .263 , .302 , .565 , .256 , 49.3 , -0.40 , -1.92 
343,이용규,22키LF, -0.41 , 86 , 326 , 271 , 34 , 54 , 6 , 0 , 0 , 60 , 21 , 12 , 2 , 45 , 7 , 0 , 42 , 7 , 1 , 2 , .199 , .326 , .221 , .548 , .278 , 67.7 , -0.41 , 0.64 
344,신본기,22KSS, -0.47 , 74 , 138 , 121 , 9 , 22 , 3 , 0 , 1 , 28 , 8 , 0 , 1 , 10 , 2 , 0 , 28 , 5 , 4 , 1 , .182 , .254 , .231 , .485 , .230 , 32.6 , -0.47 , -1.75 
345,김응민,22NC, -0.47 , 34 , 75 , 67 , 7 , 9 , 1 , 0 , 1 , 13 , 5 , 0 , 0 , 3 , 2 , 0 , 12 , 3 , 2 , 1 , .134 , .192 , .194 , .386 , .182 , 1.2 , -0.47 , -0.64 
346,김동엽,22삼DH, -0.48 , 30 , 100 , 95 , 9 , 21 , 5 , 0 , 2 , 32 , 4 , 0 , 3 , 4 , 0 , 0 , 22 , 1 , 0 , 1 , .221 , .250 , .337 , .587 , .268 , 58.4 , -0.48 , -0.41 
347,한태양,22롯SS, -0.49 , 38 , 72 , 61 , 14 , 9 , 1 , 0 , 0 , 10 , 3 , 1 , 0 , 5 , 2 , 0 , 24 , 1 , 4 , 0 , .148 , .235 , .164 , .399 , .194 , 7.2 , -0.49 , -0.19 
348,강태율,22롯C, -0.52 , 19 , 38 , 32 , 0 , 3 , 1 , 0 , 0 , 4 , 3 , 0 , 0 , 2 , 1 , 0 , 9 , 2 , 3 , 0 , .094 , .171 , .125 , .296 , .142 , -28.1 , -0.52 , -0.48 
349,송민섭,22KRF, -0.53 , 119 , 72 , 64 , 17 , 10 , 1 , 2 , 0 , 15 , 3 , 0 , 2 , 5 , 0 , 0 , 19 , 0 , 3 , 0 , .156 , .217 , .234 , .452 , .206 , 17.1 , -0.53 , -0.59 
350,김성현,22S2B, -0.58 , 130 , 359 , 302 , 38 , 66 , 9 , 1 , 2 , 83 , 37 , 3 , 3 , 31 , 3 , 0 , 36 , 13 , 20 , 3 , .219 , .295 , .275 , .570 , .259 , 53.9 , -0.58 , -0.25 
351,이도윤,22한SS, -0.69 , 80 , 126 , 113 , 9 , 18 , 7 , 0 , 1 , 28 , 8 , 3 , 2 , 8 , 0 , 0 , 30 , 1 , 4 , 1 , .159 , .213 , .248 , .461 , .210 , 20.5 , -0.69 , -1.37 
352,박대온,22NC, -0.75 , 59 , 133 , 127 , 8 , 23 , 4 , 0 , 1 , 30 , 10 , 0 , 0 , 0 , 2 , 0 , 37 , 4 , 3 , 1 , .181 , .192 , .236 , .429 , .194 , 10.5 , -0.75 , -1.69 
353,조세진,22롯RF, -0.76 , 39 , 88 , 86 , 6 , 16 , 3 , 0 , 0 , 19 , 6 , 0 , 1 , 1 , 0 , 0 , 25 , 4 , 1 , 0 , .186 , .195 , .221 , .416 , .192 , 5.7 , -0.76 , -0.64 
354,유로결,22한LF, -0.82 , 30 , 68 , 60 , 5 , 8 , 0 , 0 , 0 , 8 , 4 , 0 , 0 , 4 , 1 , 0 , 9 , 1 , 3 , 0 , .133 , .200 , .133 , .333 , .164 , -11.4 , -0.82 , -1.05 
355,정보근,22롯C, -0.91 , 95 , 226 , 199 , 8 , 38 , 2 , 0 , 1 , 43 , 15 , 1 , 0 , 14 , 2 , 0 , 55 , 4 , 10 , 1 , .191 , .250 , .216 , .466 , .218 , 24.1 , -0.91 , -1.78 
356,박경수,22K2B, -1.01 , 100 , 194 , 166 , 13 , 20 , 3 , 0 , 3 , 32 , 10 , 0 , 0 , 24 , 1 , 0 , 70 , 3 , 2 , 1 , .120 , .234 , .193 , .427 , .213 , 21.9 , -1.01 , -2.16 
357,김헌곤,22삼CF, -1.58 , 80 , 239 , 224 , 18 , 43 , 8 , 0 , 1 , 54 , 20 , 3 , 1 , 9 , 1 , 0 , 22 , 10 , 2 , 3 , .192 , .224 , .241 , .465 , .217 , 24.6 , -1.58 , -2.24 
